Outcome	Grade	Gender	Ethnicity	Relig	Age	Work pattern	Loc	Disability	VES1
4	EO	Female	White	Christian	20s	Full Time	Other	No	0
4	AO	Male	White	No religion	20s	Full Time	Other	No	0
4	SEO	Female	Not Declared	Not Declared	20s	Full Time	Other	Not Declared	0
4	EO	Female	Not Declared	Not Declared	20s	Full Time	London	Not Declared	0
4	AO	Female	White	No religion	20s	Full Time	London	No	0
4	AO	Male	BME	No religion	20s	Full Time	London	No	0
4	HEO	Female	White	No religion	20s	Full Time	London	No	0
4	EO	Male	White	No religion	20s	Full Time	London	Not Declared	0
4	EO	Female	White	No religion	20s	Full Time	London	No	0
4	AO	Male	Not Declared	Not Declared	20s	Full Time	London	No	0
4	EO	Female	Not Declared	Not Declared	20s	Full Time	London	Not Declared	0
4	HEO	Female	Not Declared	Not Declared	20s	Full Time	London	Not Declared	0
4	HEO	Female	Not Declared	Not Declared	20s	Full Time	London	Not Declared	0
4	HEO	Female	White	Christian	20s	Full Time	London	No	0
4	FS	Female	White	No religion	20s	Full Time	London	Not Declared	0
4	G7	Female	White	No religion	20s	Full Time	London	No	0
4	HEO	Male	White	No religion	20s	Full Time	London	No	0
4	HEO	Female	White	No religion	20s	Full Time	London	Not Declared	0
4	G7	Female	BME	No religion	20s	Full Time	London	No	0
4	G7	Male	White	No religion	20s	Full Time	London	No	0
4	G7	Female	White	No religion	20s	Full Time	London	No	0
4	G7	Male	White	No religion	20s	Full Time	London	No	0
4	HEO	Male	White	No religion	20s	Full Time	London	No	0
4	HEO	Male	White	No religion	20s	Full Time	London	No	0
4	HEO	Male	White	No religion	20s	Full Time	London	No	0
4	HEO	Male	White	No religion	20s	Full Time	London	No	0
4	SEO	Male	White	No religion	20s	Full Time	London	Yes	0
4	EO	Female	White	Christian	20s	Full Time	London	Not Declared	0
4	G7	Female	White	Christian	20s	Full Time	London	No	0
4	G7	Female	Not Declared	Christian	20s	Full Time	London	No	0
4	G7	Female	Not Declared	Christian	20s	Full Time	London	No	0
4	G7	Female	White	Christian	20s	Full Time	London	No	0
4	HEO	Female	White	Christian	20s	Full Time	London	No	0
4	HEO	Female	White	Christian	20s	Full Time	London	No	0
4	HEO	Male	White	Christian	20s	Full Time	London	No	0
4	SEO	Male	White	Christian	20s	Full Time	London	No	0
4	SEO	Male	White	Christian	20s	Full Time	London	No	0
4	HEO	Female	BME	Religious (not Christian)	20s	Full Time	London	No	0
4	SEO	Male	BME	Religious (not Christian)	20s	Full Time	London	No	0
4	G7	Female	Not Declared	Religious (not Christian)	20s	Full Time	London	No	0
4	EO	Female	BME	Religious (not Christian)	20s	Full Time	London	No	0
4	EO	Male	BME	Religious (not Christian)	20s	Full Time	London	Not Declared	0
4	EO	Female	White	No religion	20s	Full Time	London	No	0
4	FS	Male	White	No religion	20s	Full Time	London	No	0
4	G7	Male	White	No religion	20s	Full Time	London	No	0
